Date,Bitcoin,Gold,SP500,Bitcoin_Norm,Gold_Norm,SP500_Norm,Bitcoin_Ret,Gold_Ret,SP500_Ret
2024-04-22,66837.6796875,2332.199951171875,5010.60009765625,17604.89317874793,186.889967589105,273.94100958079923,0.029433758205850147,-0.027601715254901182,0.008731248071466746
2024-04-23,66407.2734375,2327.699951171875,5070.5498046875,17491.52514906553,186.5293617783861,277.2185976836485,-0.006439574982440521,-0.0019295086588689836,0.011964576270872662
2024-04-24,64276.8984375,2324.5,5071.6298828125,16930.389207766693,186.2729348924761,277.2776480341499,-0.03208044676017341,-0.0013747266567858407,0.0002130100613548791
2024-04-25,64481.70703125,2329.800048828125,5048.419921875,16984.335326661254,186.69765231570184,276.008706189335,0.0031863484195515657,0.0022800812338674703,-0.004576430353515626
2024-04-26,63755.3203125,2334.800048828125,5099.9599609375,16793.00671307315,187.0983254387229,278.82651843925277,-0.011265004482557628,0.002146106916992796,0.01020914263474304
2024-04-27,63419.140625,2334.800048828125,5099.9599609375,16704.457746158474,187.0983254387229,278.82651843925277,-0.005272966802647994,0.0,0.0
2024-04-28,63113.23046875,2334.800048828125,5099.9599609375,16623.881705095177,187.0983254387229,278.82651843925277,-0.004823625063903991,0.0,0.0
2024-04-29,63841.12109375,2345.39990234375,5116.169921875,16815.60644417725,187.94774072105707,279.71275421499575,0.011533090916022948,0.004539940591891556,0.0031784486665891176
2024-04-30,60636.85546875,2291.39990234375,5035.68994140625,15971.610148850905,183.62047099242994,275.31272893439814,-0.050191249309274655,-0.02302379220960915,-0.01573051358686217
2024-05-01,58254.01171875,2299.89990234375,5018.39013671875,15343.974511639479,184.3016153015657,274.3669088990173,-0.03929695449375714,0.0037095227207202264,-0.0034354388154940185
2024-05-02,59123.43359375,2299.199951171875,5064.2001953125,15572.978260845099,184.2455249771662,276.8714499630702,0.014924669552331737,-0.00030433984155642246,0.009128437077573048
2024-05-03,62889.8359375,2299.0,5127.7900390625,16565.040092433566,184.22950196506886,280.3480526965648,0.06370405294167747,-8.696554285025915e-05,0.012556739721478527
2024-05-04,63891.47265625,2299.0,5127.7900390625,16828.868931494882,184.22950196506886,280.3480526965648,0.015926845790239064,0.0,0.0
2024-05-05,64031.1328125,2299.0,5127.7900390625,16865.655099770087,184.22950196506886,280.3480526965648,0.002185896653241981,0.0,0.0
2024-05-06,63161.94921875,2321.60009765625,5180.740234375,16636.71411330507,186.04055230677085,283.242961425799,-0.013574390387488533,0.009830403504240914,0.01032612390701182
2024-05-07,62334.81640625,2315.199951171875,5187.7001953125,16418.849207210445,185.5276789708335,283.62347846741113,-0.01309542885757653,-0.002756782484130804,0.0013434298232750663
2024-05-08,61187.94140625,2313.60009765625,5187.669921875,16116.764934405379,185.3994753099372,283.6218233490879,-0.018398626419713127,-0.0006910217473075075,-5.835618166138978e-06
2024-05-09,63049.9609375,2332.10009765625,5214.080078125,16607.21665411894,186.881965865115,285.06572721794697,0.03043115176709965,0.007996196066356154,0.005090947698625836
2024-05-10,60792.77734375,2367.300048828125,5222.68017578125,16012.679616947931,189.70270073835957,285.53591429904105,-0.035799920573900024,0.01509367081080737,0.001649398844549843
2024-05-11,60793.7109375,2367.300048828125,5222.68017578125,16012.925523423408,189.70270073835957,285.53591429904105,1.5356984674586016e-05,0.0,0.0
2024-05-12,61448.39453125,2367.300048828125,5222.68017578125,16185.367696576872,189.70270073835957,285.53591429904105,0.010768936188532141,0.0,0.0
2024-05-13,62901.44921875,2336.10009765625,5221.419921875,16568.099004364933,187.20250436353183,285.46701332497054,0.023646747788683697,-0.013179550765995973,-0.00024130405535727206
2024-05-14,61552.7890625,2353.39990234375,5246.68017578125,16212.864979242799,188.58881771789072,286.84804939300204,-0.02144084393922019,0.007405420985537647,0.004837813139759728
2024-05-15,66267.4921875,2388.699951171875,5308.14990234375,17454.707084971327,191.41757387924264,290.2087404529538,0.07659609250545496,0.014999596453186603,0.011715927882596233
2024-05-16,65231.58203125,2380.0,5297.10009765625,17181.850700237013,190.72040655800953,289.60462226495866,-0.01563225228621834,-0.0036421280821004043,-0.0020816677921287052
2024-05-17,67051.875,2412.199951171875,5303.27001953125,17661.3117380633,193.3007375574415,289.94194605742473,0.02790508695432159,0.013529391248686906,0.0011647735102702228
2024-05-18,66940.8046875,2412.199951171875,5303.27001953125,17632.056069763097,193.3007375574415,289.94194605742473,-0.0016564833198177142,0.0,0.0
2024-05-19,66278.3671875,2412.199951171875,5303.27001953125,17457.571535296564,193.3007375574415,289.94194605742473,-0.009895869986810912,0.0,0.0
2024-05-20,71448.1953125,2433.89990234375,5308.1298828125,18819.292533372045,195.03965499852927,290.2076459392239,0.07800174241430358,0.008995917258572517,0.0009163899374069473
2024-05-21,70136.53125,2421.699951171875,5321.41015625,18473.803195401597,194.06201649118142,290.9337089740048,-0.018358253231772315,-0.005012511467758718,0.002501874243978186
2024-05-22,69122.3359375,2389.199951171875,5307.009765625,18206.66645124127,191.45764119154472,290.1464065612628,-0.01446030042296964,-0.013420324835978548,-0.002706123039226127
2024-05-23,67929.5625,2335.0,5267.83984375,17892.49263413968,187.11434845082027,288.0048970146004,-0.017255976976508713,-0.022685397739645285,-0.0073807894850155265
2024-05-24,68526.1015625,2332.5,5304.72021484375,18049.619669688567,186.91401188930973,290.02123156420095,0.008781729788116976,-0.0010706638115631772,0.0070010425881694704
2024-05-25,69265.9453125,2332.5,5304.72021484375,18244.49283477467,186.91401188930973,290.02123156420095,0.010796524727518797,0.0,0.0
2024-05-26,68518.09375,2332.5,5304.72021484375,18047.510430045342,186.91401188930973,290.02123156420095,-0.010796814497022966,0.0,0.0
2024-05-27,69394.5546875,2332.5,5304.72021484375,18278.36825234223,186.91401188930973,290.02123156420095,0.012791671360530277,0.0,0.0
2024-05-28,68296.21875,2355.199951171875,5306.0400390625,17989.069058467252,188.73306395500177,290.09338938400435,-0.015827408107827234,0.009732026225884205,0.0002488018529340774
2024-05-29,67578.09375,2340.300048828125,5266.9501953125,17799.916562852526,187.539065874046,287.95625789226153,-0.01051485738366742,-0.006326385297492965,-0.007367046509680453
2024-05-30,68364.9921875,2342.89990234375,5235.47998046875,18007.183825861688,187.74740415954656,286.23570900430417,0.011644282841286824,0.0011109060639156176,-0.005975035585443322
2024-05-31,67491.4140625,2322.89990234375,5277.509765625,17777.085329836365,186.14471166746245,288.5335738416024,-0.012778150001159894,-0.008536429567474357,0.00802787620486467
2024-06-01,67706.9375,2322.89990234375,5277.509765625,17833.853714263296,186.14471166746245,288.5335738416024,0.0031933460054698326,0.0,0.0
2024-06-02,67751.6015625,2322.89990234375,5277.509765625,17845.618126985548,186.14471166746245,288.5335738416024,0.0006596674454519835,0.0,0.0
2024-06-03,68804.78125,2346.60009765625,5283.39990234375,18123.023267067514,188.043917921876,288.85560113730656,0.015544720172089965,0.010202848296901212,0.0011160825806737495
2024-06-04,70567.765625,2325.5,5291.33984375,18587.38935133003,186.3530695170803,289.2896959607705,0.025622992224831664,-0.00899177396153883,0.0015028090913065117
2024-06-05,71082.8203125,2354.10009765625,5354.02978515625,18723.053587387385,188.64492760640752,292.71709896733296,0.007298724608017615,0.012298472438722952,0.011847649793331305
